1.0472,0.0180501
1.04718,0.0259274
1.04715,0.033786
1.04712,0.041636
1.04708,0.0494774
1.04703,0.0573102
1.04697,0.0651341
1.04691,0.0729492
1.04683,0.0807551
1.04675,0.088552
1.04666,0.0963396
1.04657,0.104118
1.04646,0.111887
1.04635,0.119646
1.04623,0.127395
1.0461,0.135135
1.04597,0.142865
1.04583,0.150584
1.04568,0.158294
1.04552,0.165993
1.04535,0.173682
1.04518,0.181361
1.045,0.189029
1.04481,0.196686
1.04461,0.204332
1.04441,0.211967
1.04419,0.219592
1.04398,0.227205
1.04375,0.234807
1.04351,0.242398
1.04327,0.249977
1.04302,0.257544
1.04276,0.2651
1.0425,0.272644
1.04223,0.280176
1.04195,0.287696
1.04166,0.295204
1.04136,0.302699
1.04106,0.310183
1.04075,0.317653
1.04043,0.325111
1.04011,0.332557
1.03977,0.339989
1.03943,0.347409
1.03909,0.354816
1.03873,0.362209
1.03837,0.369589
1.038,0.376956
1.03762,0.384309
1.03724,0.391649
1.03685,0.398975
1.03645,0.406287
1.03604,0.413585
1.03563,0.42087
1.03521,0.42814
1.03478,0.435396
1.03434,0.442637
1.0339,0.449864
1.03345,0.457077
1.03299,0.464274
1.03253,0.471457
1.03206,0.478625
1.03158,0.485779
1.03109,0.492917
1.0306,0.500039
1.0301,0.507147
1.02959,0.514239
1.02908,0.521315
1.02856,0.528376
1.02803,0.535421
1.02749,0.542451
1.02695,0.549464
1.0264,0.556461
1.02585,0.563442
1.02528,0.570407
1.02471,0.577356
1.02414,0.584288
1.02355,0.591203
1.02296,0.598102
1.02236,0.604984
1.02176,0.611849
1.02114,0.618698
1.02053,0.625529
1.0199,0.632343
1.01927,0.639139
1.01863,0.645919
1.01798,0.652681
1.01733,0.659425
1.01667,0.666152
1.016,0.67286
1.01533,0.679551
1.01465,0.686224
1.01397,0.692879
1.01327,0.699516
1.01257,0.706135
1.01187,0.712735
1.01115,0.719317
1.01044,0.72588
1.00971,0.732425
1.00898,0.738951
1.00824,0.745458
1.00749,0.751946
1.00674,0.758416
1.00598,0.764866
1.00522,0.771297
1.00445,0.777709
1.00367,0.784101
1.00288,0.790474
1.00209,0.796827
1.0013,0.803161
1.00049,0.809475
0.999685,0.81577
0.998869,0.822044
0.998047,0.828299
0.997219,0.834533
0.996384,0.840747
0.995543,0.846941
0.994696,0.853115
0.993843,0.859269
0.992984,0.865401
0.992119,0.871514
0.991247,0.877606
0.990369,0.883677
0.989486,0.889727
0.988596,0.895756
0.9877,0.901765
0.986799,0.907752
0.985891,0.913718
0.984977,0.919663
0.984057,0.925587
0.983132,0.931489
0.9822,0.937371
0.981263,0.94323
0.98032,0.949068
0.979371,0.954884
0.978416,0.960679
0.977455,0.966452
0.976489,0.972203
0.975516,0.977932
0.974538,0.983639
0.973555,0.989324
0.972566,0.994987
0.971571,1.00063
0.97057,1.00625
0.969564,1.01184
0.968552,1.01742
0.967534,1.02297
0.966511,1.0285
0.965483,1.034
0.964449,1.03948
0.963409,1.04494
0.962365,1.05038
0.961314,1.0558
0.960258,1.06119
0.959197,1.06656
0.958131,1.0719
0.957059,1.07723
0.955981,1.08253
0.954899,1.0878
0.953811,1.09306
0.952718,1.09829
0.95162,1.10349
0.950516,1.10868
0.949408,1.11383
0.948294,1.11897
0.947175,1.12408
0.946051,1.12917
0.944922,1.13424
0.943787,1.13928
0.942648,1.14429
0.941504,1.14929
0.940354,1.15426
0.9392,1.1592
0.938041,1.16412
0.936877,1.16902
0.935708,1.1739
0.934534,1.17874
0.933355,1.18357
0.932172,1.18837
0.930983,1.19315
0.92979,1.1979
0.928592,1.20263
0.92739,1.20733
0.926182,1.21201
0.92497,1.21666
0.923754,1.22129
0.922532,1.2259
0.921306,1.23048
0.920076,1.23504
0.918841,1.23957
0.917601,1.24407
0.916357,1.24855
0.915109,1.25301
0.913856,1.25744
0.912598,1.26185
0.911336,1.26623
0.91007,1.27059
0.9088,1.27492
0.907525,1.27923
0.906245,1.28351
0.904962,1.28777
0.903674,1.292
0.902382,1.29621
0.901086,1.30039
0.899785,1.30455
0.898481,1.30868
0.897172,1.31279
0.895859,1.31687
0.894543,1.32093
0.893222,1.32496
0.891897,1.32896
0.890568,1.33294
0.889235,1.3369
0.887898,1.34083
0.886557,1.34473
0.885212,1.34861
0.883864,1.35247
0.882511,1.35629
0.881155,1.3601
0.879795,1.36387
0.878431,1.36763
0.877063,1.37135
0.875692,1.37505
0.874317,1.37873
0.872938,1.38238
0.871556,1.386
0.87017,1.3896
0.86878,1.39317
0.867387,1.39672
0.86599,1.40024
0.86459,1.40374
0.863186,1.40721
0.861779,1.41066
0.860369,1.41408
0.858954,1.41747
0.857537,1.42084
0.856116,1.42418
0.854692,1.4275
0.853264,1.43079
0.851834,1.43406
0.8504,1.4373
0.848962,1.44052
0.847522,1.44371
0.846078,1.44687
0.844631,1.45001
0.843181,1.45312
0.841728,1.45621
0.840272,1.45927
0.838813,1.46231
0.83735,1.46532
0.835885,1.4683
0.834417,1.47126
0.832945,1.4742
0.831471,1.4771
0.829994,1.47999
0.828514,1.48285
0.827031,1.48568
0.825546,1.48848
0.824057,1.49127
0.822566,1.49402
0.821072,1.49675
0.819575,1.49946
0.818076,1.50214
0.816573,1.50479
0.815069,1.50742
0.813561,1.51002
0.812051,1.5126
0.810539,1.51515
0.809023,1.51768
0.807506,1.52018
0.805986,1.52266
0.804463,1.52511
0.802938,1.52754
0.80141,1.52994
0.79988,1.53232
0.798348,1.53467
0.796813,1.53699
0.795276,1.53929
0.793737,1.54157
